Remote-Probability	    Hackwrench		OCC	FDB    
"0 | 0.0"	                383240	47596.3		9003.9
"1 | 9.6"	                331750	42542.8		9017.2
"2 | 18.3"	            320270	40389.5		9057.1
"3 | 26.3"	            310985	38625.2		8994.4
"4 | 33.5"	            304343	37293.7     9098.4
"5 | 40.1"	            298957	36000.1		9056.8
"6 | 46.1"	            292209	35024.2		9033.6
"7 | 51.6"	            282222	34073.9		8924.4
"8 | 56.6"	            277180	32574.8		9090.4
"9 | 61.1"	            272186	31858.8		9098.7
"10 | 65.1"	            262282	31001.4		9042.8
