Cache-Hit-Ratio	    "Hackwrench"   "Hackwrench"      "Hackwrench ({/Symbol q}=0.6)"  "Hackwrench ({/Symbol q}=0.6)"     "OCC"	"OCC ({/Symbol q}=0.6)"	"Hackwrench-nofast"	"Hackwrench-nofast ({/Symbol q}=0.6)"
0                   32309.4	       0.000043	         15323.2	   0.001311582382	11249.4	        2945.04	        23920.1	            14917.2                                   
10                  35400.3	       0.0002767962808	 17066.6       0.001581861323	12618	        3035.43	        24950.1	            16398.6                       
20                  38715	       0.0005216955622	 19159.5	   0.001842216505	13145.7	        3038.32	        26463.7	            18033.4                      
30                  41040.1	       0.0008502800564	 21844	       0.002151364514	13483	        3112.11	        29789.9	            19652.7                       
40                  48658.4	       0.001356210829	 25536.6	   0.002521574339	14201.2	        3197.01	        33034.1	            21479.3                       
50                  55184.7	       0.001755708317	 30672.2	   0.00343919311	13779	        3331.32	        36854.6	            22976.5                       
60                  66665.5	       0.002779181784	 38335.7	   0.004287894002	15947.5	        3278.57	        41696.6	            24589.1                       
70                  78377.3	       0.003887104305	 50905.8	   0.005982837153	14758.6	        3301.58	        47769.6	            26718.7                       
80                  105728	       0.00577347003	 76281.4	   0.008496481864	15554.8	        3228.19	        60419.7	            28802.3                      
90                  156513	       0.01003103475	 145704        0.01582464156	16528	        3205.49	        80586	            30194.9                      
100                 288092	       0.02378632841	 234713        0.08440731613	15516.4	        8103.94	        164022	            32655.1                      
