BS=1	BS=1	BS=5	BS=5	BS=10	BS=10	BS=20	BS=20	BS=40	BS=40	BS=80	BS=80	BS=160	BS=160
12208.6	564507	49549.1	699355	85265.9	806179	137117	997233	203273	1352249	255239	2189554	290191	3827144
191934	1449741	265694	1109826	281863	1082629	259173	1167227	211362	1523958	276834	3448739	311823	4905524
278730	2978035	320595	2530219	420929	2006661	515084	1701566	483077	1887546	454934	3380492	502135	5944485
314391	4381296	343597	3834870	443701	2966669	559363	2499990	612460	2385290	704197	4229752	799624	7265196
362322	7676017	407947	6408549	505090	5035570	617374	4226121	700285	3908044	823147	6741866	955732	11510812
362270	16666836	473504	10917622	565230	8812959	687712	7474276	759268	7019050	910937	11683302	1013300	15353605
345906	36208216	500417	20596251	620015	15549515	758352	13471430	846134	12503952	955587	16409181	1043280	18498373
""	""	495269	34591308	649625	22298408	796550	19025662	893533	17656503	985041	20662636	1068490	20384352
""	""	""	""	659474	28881835	818185	24457968	919759	22264310	990839	24239460		
""	""	""	""	667808	34284816	833855	29688878	928466	26722532				
