parameter	Hackwrench	Hackwrench-nofast	COCO-colocated	COCO-remote	Calvin	OCC+Caching FDB
10	977280	892477	1610930	234323	242907	242907 296556
20	931560	868446	1017180	221823	236811	235567 293131
30	918407	851388	745832	215728	229846	217045 293018
40	901813	852073	611541	211989	221790	203114 289781
50	899552	843718	502245	200660	220240	190880 292085
60	885617	838995	421947	193517	211740	186092 289596
70	878601	827823	375658	186881	209432	169783 287490
80	875482	818850	334861	176087	204943	164665 285717
90	862359	807925	298429	174174	201416	161260 287476
100	863398	807916	272286	168582	193952	155471 287345
